"ansession","N","program","color","line.type"
"20163",1158,"Total","Total","actual"
"20141",1066,"Total","Total","actual"
"20143",1132,"Total","Total","actual"
"20151",1041,"Total","Total","actual"
"20153",1179,"Total","Total","actual"
"20161",1058,"Total","Total","actual"
"20141",22,"ESP","ESP","actual"
"20141",12,"DSP","DSP","actual"
"20141",54,"Enviro","Enviro","actual"
"20141",530,"Health","Health","actual"
"20141",448,"Pure","Pure","actual"
"20143",57,"ESP","ESP","actual"
"20143",28,"DSP","DSP","actual"
"20143",66,"Enviro","Enviro","actual"
"20143",495,"Health","Health","actual"
"20143",486,"Pure","Pure","actual"
"20151",34,"ESP","ESP","actual"
"20151",23,"DSP","DSP","actual"
"20151",41,"Enviro","Enviro","actual"
"20151",500,"Health","Health","actual"
"20151",443,"Pure","Pure","actual"
"20153",48,"ESP","ESP","actual"
"20153",28,"DSP","DSP","actual"
"20153",64,"Enviro","Enviro","actual"
"20153",539,"Health","Health","actual"
"20153",500,"Pure","Pure","actual"
"20161",31,"ESP","ESP","actual"
"20161",20,"DSP","DSP","actual"
"20161",53,"Enviro","Enviro","actual"
"20161",485,"Health","Health","actual"
"20161",469,"Pure","Pure","actual"
"20163",43,"ESP","ESP","actual"
"20163",12,"DSP","DSP","actual"
"20163",74,"Enviro","Enviro","actual"
"20163",533,"Health","Health","actual"
"20163",496,"Pure","Pure","actual"
"20143",67.65,"Enviro.projected","Enviro","projected"
"20143",492.82,"Health.projected","Health","projected"
"20143",480.7,"Pure.projected","Pure","projected"
"20143",28,"DSP.projected","DSP","projected"
"20143",57,"ESP.projected","ESP","projected"
"20151",20.44,"DSP.projected","DSP","projected"
"20151",38.19,"ESP.projected","ESP","projected"
"20151",50.9822,"Enviro.projected","Enviro","projected"
"20151",477.5652,"Health.projected","Health","projected"
"20151",441.8386,"Pure.projected","Pure","projected"
"20153",69.16892,"Enviro.projected","Enviro","projected"
"20153",534.858734,"Health.projected","Health","projected"
"20153",500.395196,"Pure.projected","Pure","projected"
"20153",28,"DSP.projected","DSP","projected"
"20153",48,"ESP.projected","ESP","projected"
"20161",20.44,"DSP.projected","DSP","projected"
"20161",32.16,"ESP.projected","ESP","projected"
"20161",53.722822,"Enviro.projected","Enviro","projected"
"20161",485.72209276,"Health.projected","Health","projected"
"20161",454.73797426,"Pure.projected","Pure","projected"
"20163",77.23564884,"Enviro.projected","Enviro","projected"
"20163",528.396432432,"Health.projected","Health","projected"
"20163",495.9249486616,"Pure.projected","Pure","projected"
"20163",43,"ESP.projected","ESP","projected"
"20163",12,"DSP.projected","DSP","projected"
"20171",8.76,"DSP.projected","DSP","projected"
"20171",28.81,"ESP.projected","ESP","projected"
"20171",59.47232732,"Enviro.projected","Enviro","projected"
"20171",509.123243732568,"Health.projected","Health","projected"
"20171",453.424475793053,"Pure.projected","Pure","projected"
"20173",73.5432157129714,"Enviro.projected","Enviro","projected"
"20173",552.611950185204,"Health.projected","Health","projected"
"20173",577.742073744268,"Pure.projected","Pure","projected"
"20173",22.2857142857143,"DSP.projected","DSP","projected"
"20173",45,"ESP.projected","ESP","projected"
"20181",16.2685714285714,"DSP.projected","DSP","projected"
"20181",30.15,"ESP.projected","ESP","projected"
"20181",56.9460114537143,"Enviro.projected","Enviro","projected"
"20181",539.041703143282,"Health.projected","Health","projected"
"20181",521.645654932841,"Pure.projected","Pure","projected"
"20183",69.8862179614171,"Enviro.projected","Enviro","projected"
"20183",591.165010497438,"Health.projected","Health","projected"
"20183",643.444114364937,"Pure.projected","Pure","projected"
"20183",22.2857142857143,"DSP.projected","DSP","projected"
"20183",45,"ESP.projected","ESP","projected"
"20191",16.2685714285714,"DSP.projected","DSP","projected"
"20191",30.15,"ESP.projected","ESP","projected"
"20191",52.4250493314286,"Enviro.projected","Enviro","projected"
"20191",570.778047669826,"Health.projected","Health","projected"
"20191",583.515937797397,"Pure.projected","Pure","projected"
"20193",67.8033786063428,"Enviro.projected","Enviro","projected"
"20193",596.096647862597,"Health.projected","Health","projected"
"20193",659.551810865958,"Pure.projected","Pure","projected"
"20193",22.2857142857143,"DSP.projected","DSP","projected"
"20193",45,"ESP.projected","ESP","projected"
"20201",16.2685714285714,"DSP.projected","DSP","projected"
"20201",30.15,"ESP.projected","ESP","projected"
"20201",52.0177135211429,"Enviro.projected","Enviro","projected"
"20201",572.940114091148,"Health.projected","Health","projected"
"20201",589.607983462302,"Pure.projected","Pure","projected"
"20203",67.7341315185943,"Enviro.projected","Enviro","projected"
"20203",596.740580540988,"Health.projected","Health","projected"
"20203",660.09421945013,"Pure.projected","Pure","projected"
"20203",22.2857142857143,"DSP.projected","DSP","projected"
"20203",45,"ESP.projected","ESP","projected"
"20211",16.2685714285714,"DSP.projected","DSP","projected"
"20211",30.15,"ESP.projected","ESP","projected"
"20211",52.0177135211429,"Enviro.projected","Enviro","projected"
"20211",573.397595475104,"Health.projected","Health","projected"
"20211",590.060249092036,"Pure.projected","Pure","projected"
"20143",1126.17,"Total.projected","Total","projected"
"20151",1029.016,"Total.projected","Total","projected"
"20153",1180.42285,"Total.projected","Total","projected"
"20161",1046.78288902,"Total.projected","Total","projected"
"20163",1156.5570299336,"Total.projected","Total","projected"
"20171",1059.59004684562,"Total.projected","Total","projected"
"20173",1271.18295392816,"Total.projected","Total","projected"
"20181",1164.05194095841,"Total.projected","Total","projected"
"20183",1371.78105710951,"Total.projected","Total","projected"
"20191",1253.13760622722,"Total.projected","Total","projected"
"20193",1390.73755162061,"Total.projected","Total","projected"
"20201",1260.98438250316,"Total.projected","Total","projected"
"20203",1391.85464579543,"Total.projected","Total","projected"
"20211",1261.89412951685,"Total.projected","Total","projected"
